,en,it
PLAY,Play,Gioca
HOW TO PLAY,How to Play,Regole
MY STATS,My Stats,Statistiche
CREDITS,Credits,Crediti
,,
PROFILE,Profile,Profilo
AUDIO,Audio,Audio
USERNAME,Username,Username
NEW NAME HERE,New Name Here,Nuovo Username
CHANGE,Change,Cambia
TITLE,Title,Titolo
TITLES,Titles,Titoli
TITLES UNLOCKED,Titles Unlocked,Titoli Sbloccati
AVATAR,Avatar,Avatar
AVATARS,Avatars,Avatar
AVATARS UNLOCKED,Avatars Unlocked,Avatar Sbloccati
,,
ANONYMOUS PLAYER,Anonymous Player,Giocatore Anonimo
JUST WANNA HAVE FUN,Just Wanna Have Fun,Vorrei Divertirmi
MISCHIEVOUS TROLL,Mischievous Troll,Troll Dispettoso
DEPRESSED+REPRESSED,Depressed+Repressed,Depresso+Represso
FAKE FRIEND,Fake Friend,Falso Amico
SEND HELP,Send Help,Aiuto
CERTIFIED TRYHARD,Certified Tryhard,Tryhard Certificato
NO MORE FRIENDS,No More Friends,Senza Amici!
SECOND NAME: GYM,Second Name: Gym,Palestra di Cognome
PERSISTENT,Persistent,Persistente
RESOURCEFUL,Resourceful,Pieno di Risorse
LOOSE CANNON,Loose Cannon,Mina Vagante
LIVING ON A PRAYER,Living On A Prayer,Speriamo Bene
VICTIM,Victim,Vittima
SPEEDRUNNER,Speedrunner,Speedrunner
STEADY NERVES,Steady Nerves,Nervisaldi
HOLIDAYS RUINED,Holidays Ruined,Vacanze Rovinate
ACTUAL CRIMINAL,Actual Criminal,Criminale Ricercato
MAIN CHARACTER,Main Character,Er Protagonista
PLAYER OF NO REKNOWN,Player of no Reknown,Giocatore Senza Fama
,,
PLAY TO UNLOCK MORE,Play to unlock more,Sbloccali giocando
VERY NICE,Very nice,Molto bene
KEEP EM COMING,Keep 'em coming,Continua così!
ALMOST THERE,Almost there!,Ci sei quasi!
ALL TITLES GOT,All Titles: GOT,Titoli: 100%
ALL AVATARS GOT,All Avatars: GOT,Avatar: 100%
,,
BOT,Bot,Bot
,,
UNLOCKED AT THE START,Unlocked at the start,Sbloccato all'inizio
LOSE A GAME,Lose a game,Perdi una partita
